Date;Ibirapuera;Pinheiros
3 de agosto de 2016;1202;1338
4 de agosto de 2016;1150;1330
5 de agosto de 2016;1088;1153
6 de agosto de 2016;1855;2114
7 de agosto de 2016;1052;1210
8 de agosto de 2016;1276;1393
9 de agosto de 2016;1080;1209
10 de agosto de 2016;984;1105
11 de agosto de 2016;923;1063
12 de agosto de 2016;973;1084
13 de agosto de 2016;1463;1550
14 de agosto de 2016;1000;1017
15 de agosto de 2016;1224;1395
16 de agosto de 2016;1354;1446
17 de agosto de 2016;971;1059
18 de agosto de 2016;990;1197
19 de agosto de 2016;322;345
20 de agosto de 2016;145;153
21 de agosto de 2016;568;655
22 de agosto de 2016;1043;1162
23 de agosto de 2016;1167;1258
24 de agosto de 2016;1201;1364
25 de agosto de 2016;1194;1318
26 de agosto de 2016;1127;1227
27 de agosto de 2016;2193;2420
28 de agosto de 2016;1365;1554
29 de agosto de 2016;1536;1652
30 de agosto de 2016;472;560
31 de agosto de 2016;1274;1434
1 de setembro de 2016;1068;1213
2 de setembro de 2016;927;1005
3 de setembro de 2016;1596;1697
4 de setembro de 2016;1239;1353
5 de setembro de 2016;653;739
6 de setembro de 2016;1257;1522
7 de setembro de 2016;1249;1448
8 de setembro de 2016;1092;1190
9 de setembro de 2016;1039;1113
10 de setembro de 2016;2130;2258
11 de setembro de 2016;1305;1480
12 de setembro de 2016;1550;1639
13 de setembro de 2016;1321;1411
14 de setembro de 2016;1349;1516
15 de setembro de 2016;1105;1287
16 de setembro de 2016;1029;1099
17 de setembro de 2016;1851;2077
18 de setembro de 2016;1218;1383
19 de setembro de 2016;1010;1139
20 de setembro de 2016;994;1147
21 de setembro de 2016;1284;1381
22 de setembro de 2016;1243;1383
23 de setembro de 2016;787;894
24 de setembro de 2016;743;763
25 de setembro de 2016;1200;1235
26 de setembro de 2016;1413;1538
27 de setembro de 2016;1327;1493
28 de setembro de 2016;1254;1445
29 de setembro de 2016;1130;1277
30 de setembro de 2016;815;869
1 de outubro de 2016;1464;1657
2 de outubro de 2016;587;619
3 de outubro de 2016;997;1115
4 de outubro de 2016;1247;1400
5 de outubro de 2016;1061;1235
6 de outubro de 2016;1092;1210
7 de outubro de 2016;1166;1307
8 de outubro de 2016;2030;2186
9 de outubro de 2016;1197;1296
10 de outubro de 2016;1156;1248
11 de outubro de 2016;2163;2439
12 de outubro de 2016;889;896
13 de outubro de 2016;976;1078
14 de outubro de 2016;1038;1133
15 de outubro de 2016;2126;2298
16 de outubro de 2016;1233;1388
17 de outubro de 2016;1563;1788
18 de outubro de 2016;1466;1593
19 de outubro de 2016;944;1009
20 de outubro de 2016;919;1044
21 de outubro de 2016;744;739
22 de outubro de 2016;2059;2298
23 de outubro de 2016;1228;1410
24 de outubro de 2016;814;843
25 de outubro de 2016;1448;1498
26 de outubro de 2016;1149;1276
27 de outubro de 2016;1254;1358
28 de outubro de 2016;1002;1153
29 de outubro de 2016;1965;2164
30 de outubro de 2016;1433;1585
31 de outubro de 2016;1474;1672
1 de novembro de 2016;2256;2570
2 de novembro de 2016;641;709
3 de novembro de 2016;889;977
4 de novembro de 2016;845;906
5 de novembro de 2016;1730;1969
6 de novembro de 2016;1352;1507
7 de novembro de 2016;1595;1748
8 de novembro de 2016;1106;1107
9 de novembro de 2016;1159;1349
10 de novembro de 2016;1219;1392
11 de novembro de 2016;542;587
12 de novembro de 2016;87;95
13 de novembro de 2016;432;510
14 de novembro de 2016;959;1059
15 de novembro de 2016;1103;1226
16 de novembro de 2016;1102;1238
17 de novembro de 2016;921;1062
18 de novembro de 2016;783;820
19 de novembro de 2016;2044;2329
20 de novembro de 2016;1407;1573
21 de novembro de 2016;1427;1583
22 de novembro de 2016;1009;1130
23 de novembro de 2016;1395;1553
24 de novembro de 2016;1211;1400
25 de novembro de 2016;1078;1126
26 de novembro de 2016;2017;2174
27 de novembro de 2016;1219;1367
28 de novembro de 2016;1007;1143
29 de novembro de 2016;967;1084
