Date;Ibirapuera;Pinheiros
18 de maio de 2018;681;666
19 de maio de 2018;1481;1763
20 de maio de 2018;2067;2229
21 de maio de 2018;2296;2479
22 de maio de 2018;2231;2447
23 de maio de 2018;2367;2702
24 de maio de 2018;2553;2763
25 de maio de 2018;1579;1770
26 de maio de 2018;2795;3209
27 de maio de 2018;3301;3469
28 de maio de 2018;3643;3948
29 de maio de 2018;3067;3377
30 de maio de 2018;2805;3167
31 de maio de 2018;1863;2096
1 de junho de 2018;1387;1466
2 de junho de 2018;666;707
3 de junho de 2018;2049;2272
4 de junho de 2018;2170;2415
5 de junho de 2018;2294;2545
6 de junho de 2018;1755;1987
7 de junho de 2018;2107;2379
8 de junho de 2018;995;1082
9 de junho de 2018;1844;1989
10 de junho de 2018;2564;2791
11 de junho de 2018;2649;2749
12 de junho de 2018;2307;2263
13 de junho de 2018;1976;2029
14 de junho de 2018;1991;2089
15 de junho de 2018;645;721
16 de junho de 2018;761;893
17 de junho de 2018;2112;2469
18 de junho de 2018;2546;2784
19 de junho de 2018;2586;2844
20 de junho de 2018;2477;2743
21 de junho de 2018;2062;2317
22 de junho de 2018;1163;1266
23 de junho de 2018;2155;2265
24 de junho de 2018;2385;2716
25 de junho de 2018;2716;2957
26 de junho de 2018;2589;2904
27 de junho de 2018;2432;2649
28 de junho de 2018;2360;2637
29 de junho de 2018;997;1123
30 de junho de 2018;2005;2192
1 de julho de 2018;2262;2481
2 de julho de 2018;2541;2622
3 de julho de 2018;2489;2627
4 de julho de 2018;2448;2652
5 de julho de 2018;2168;2624
6 de julho de 2018;999;1095
7 de julho de 2018;2373;2602
8 de julho de 2018;1884;2056
9 de julho de 2018;1826;2080
10 de julho de 2018;1886;1945
11 de julho de 2018;1997;2153
12 de julho de 2018;1926;2102
13 de julho de 2018;1252;1387
14 de julho de 2018;1861;1971
15 de julho de 2018;2328;2657
16 de julho de 2018;2637;2907
17 de julho de 2018;2616;2816
18 de julho de 2018;2508;2773
19 de julho de 2018;2318;2605
20 de julho de 2018;1273;1356
21 de julho de 2018;1542;1628
22 de julho de 2018;2504;2729
23 de julho de 2018;2579;2575
24 de julho de 2018;2529;2602
25 de julho de 2018;2492;2711
26 de julho de 2018;2525;2717
27 de julho de 2018;1569;1668
28 de julho de 2018;2398;2659
29 de julho de 2018;2381;2492
30 de julho de 2018;1415;1809
31 de julho de 2018;1594;1595
1 de agosto de 2018;2103;2426
2 de agosto de 2018;1173;1066
3 de agosto de 2018;1058;1113
4 de agosto de 2018;1265;1272
5 de agosto de 2018;1144;1380
6 de agosto de 2018;2364;2731
7 de agosto de 2018;2848;3009
8 de agosto de 2018;2606;2841
9 de agosto de 2018;2692;3011
10 de agosto de 2018;1410;1530
11 de agosto de 2018;1316;1363
12 de agosto de 2018;2527;2882
13 de agosto de 2018;3014;3392
14 de agosto de 2018;2813;2972
15 de agosto de 2018;2382;2591
16 de agosto de 2018;2528;2754
17 de agosto de 2018;1387;1563
18 de agosto de 2018;2627;2719
19 de agosto de 2018;3078;3573
20 de agosto de 2018;3345;3692
21 de agosto de 2018;3141;3305
22 de agosto de 2018;3159;3509
23 de agosto de 2018;3111;3373
24 de agosto de 2018;1190;1259
25 de agosto de 2018;892;966
26 de agosto de 2018;2524;2872
27 de agosto de 2018;3166;3516
28 de agosto de 2018;3471;3582
29 de agosto de 2018;3377;3728
30 de agosto de 2018;3256;3624
31 de agosto de 2018;1708;1678
1 de setembro de 2018;2694;2746
2 de setembro de 2018;2875;2961
3 de setembro de 2018;2510;2492
4 de setembro de 2018;2818;3100
5 de setembro de 2018;3150;3381
6 de setembro de 2018;2165;2406
7 de setembro de 2018;1474;1515
8 de setembro de 2018;2259;2277
9 de setembro de 2018;2890;3317
10 de setembro de 2018;3460;3620
11 de setembro de 2018;3291;3548
12 de setembro de 2018;3303;3530
13 de setembro de 2018;1533;1538
14 de setembro de 2018;1142;1152
15 de setembro de 2018;2256;2393
16 de setembro de 2018;1847;2454
17 de setembro de 2018;3585;3916
18 de setembro de 2018;3777;4197
19 de setembro de 2018;2860;2738
20 de setembro de 2018;3180;3396
21 de setembro de 2018;1875;1987
22 de setembro de 2018;2941;2962
23 de setembro de 2018;3353;3742
24 de setembro de 2018;3773;4112
25 de setembro de 2018;3484;3707
26 de setembro de 2018;3163;3293
27 de setembro de 2018;3061;3140
28 de setembro de 2018;1467;1778
29 de setembro de 2018;1943;2228
30 de setembro de 2018;2592;3088
1 de outubro de 2018;3668;3999
2 de outubro de 2018;3381;3277
3 de outubro de 2018;3534;3590
4 de outubro de 2018;3053;3241
5 de outubro de 2018;979;1021
6 de outubro de 2018;873;930
7 de outubro de 2018;2128;2455
8 de outubro de 2018;3311;3683
9 de outubro de 2018;2686;3116
10 de outubro de 2018;2398;2503
11 de outubro de 2018;1998;2159
12 de outubro de 2018;1371;1465
13 de outubro de 2018;1550;1754
14 de outubro de 2018;2103;2611
15 de outubro de 2018;3187;3538
16 de outubro de 2018;3188;3272
17 de outubro de 2018;3099;3283
18 de outubro de 2018;2809;2683
19 de outubro de 2018;1590;1679
20 de outubro de 2018;2105;2304
21 de outubro de 2018;3207;3489
22 de outubro de 2018;3662;3600
23 de outubro de 2018;1723;2281
24 de outubro de 2018;1872;2361
25 de outubro de 2018;2942;3194
26 de outubro de 2018;1180;1246
27 de outubro de 2018;1338;1447
28 de outubro de 2018;3158;3344
29 de outubro de 2018;3708;3836
30 de outubro de 2018;3197;2881
31 de outubro de 2018;3293;3691
1 de novembro de 2018;2304;2480
2 de novembro de 2018;1710;1863
3 de novembro de 2018;1623;1782
4 de novembro de 2018;3044;3262
5 de novembro de 2018;3488;3575
6 de novembro de 2018;3178;3312
7 de novembro de 2018;2898;3118
8 de novembro de 2018;3226;3387
9 de novembro de 2018;1366;1413
10 de novembro de 2018;2576;2805
11 de novembro de 2018;3311;3625
12 de novembro de 2018;3581;3870
13 de novembro de 2018;3444;3706
14 de novembro de 2018;1738;1889
15 de novembro de 2018;2117;2323
16 de novembro de 2018;1915;2085
17 de novembro de 2018;2097;2231
18 de novembro de 2018;549;585
19 de novembro de 2018;1696;1822
20 de novembro de 2018;3276;3875
21 de novembro de 2018;3753;4301
22 de novembro de 2018;3623;4085
23 de novembro de 2018;1408;1582
24 de novembro de 2018;1647;1772
25 de novembro de 2018;3526;4199
26 de novembro de 2018;3968;4616
27 de novembro de 2018;3986;4558
28 de novembro de 2018;3715;3873
29 de novembro de 2018;3399;3642
30 de novembro de 2018;1352;1531
1 de dezembro de 2018;2579;2639
2 de dezembro de 2018;3009;3723
3 de dezembro de 2018;4142;4794
4 de dezembro de 2018;3926;4484
5 de dezembro de 2018;3912;4413
6 de dezembro de 2018;3579;3947
7 de dezembro de 2018;1463;1523
8 de dezembro de 2018;2976;3270
9 de dezembro de 2018;3825;4320
10 de dezembro de 2018;4272;4537
11 de dezembro de 2018;4082;4493
12 de dezembro de 2018;3636;4069
13 de dezembro de 2018;3885;4343
14 de dezembro de 2018;1780;1975
15 de dezembro de 2018;2324;2596
16 de dezembro de 2018;3527;4110
17 de dezembro de 2018;3494;4068
18 de dezembro de 2018;3565;3891
19 de dezembro de 2018;3688;4179
20 de dezembro de 2018;3230;3650
21 de dezembro de 2018;1577;1638
22 de dezembro de 2018;1793;1862
23 de dezembro de 2018;798;842
24 de dezembro de 2018;823;856
25 de dezembro de 2018;2257;2648
26 de dezembro de 2018;2371;2732
27 de dezembro de 2018;1943;2214
28 de dezembro de 2018;1424;1617
29 de dezembro de 2018;1992;2094
30 de dezembro de 2018;896;964
31 de dezembro de 2018;700;769
1 de janeiro de 2019;1856;2294
2 de janeiro de 2019;2137;2485
3 de janeiro de 2019;1944;1801
4 de janeiro de 2019;777;932
5 de janeiro de 2019;2794;2919
6 de janeiro de 2019;3097;3588
7 de janeiro de 2019;3160;3365
8 de janeiro de 2019;3389;3940
9 de janeiro de 2019;3364;3766
10 de janeiro de 2019;2960;3378
11 de janeiro de 2019;2119;2384
12 de janeiro de 2019;2892;3219
13 de janeiro de 2019;3256;3698
14 de janeiro de 2019;3855;4275
15 de janeiro de 2019;3478;3924
16 de janeiro de 2019;3246;3259
17 de janeiro de 2019;3377;3911
18 de janeiro de 2019;1966;2184
19 de janeiro de 2019;2820;3154
20 de janeiro de 2019;3352;3886
21 de janeiro de 2019;3378;3806
22 de janeiro de 2019;3594;4095
23 de janeiro de 2019;3301;3899
24 de janeiro de 2019;1659;1841
25 de janeiro de 2019;1704;1898
26 de janeiro de 2019;2994;3265
27 de janeiro de 2019;3368;3997
28 de janeiro de 2019;3814;4153
29 de janeiro de 2019;3643;3999
30 de janeiro de 2019;3757;4204
31 de janeiro de 2019;3461;4155
1 de fevereiro de 2019;1870;2097
2 de fevereiro de 2019;2895;3165
3 de fevereiro de 2019;1845;2585
4 de fevereiro de 2019;3623;4013
5 de fevereiro de 2019;1162;1726
6 de fevereiro de 2019;3646;4125
7 de fevereiro de 2019;3624;4254
8 de fevereiro de 2019;2049;2307
9 de fevereiro de 2019;3123;3520
10 de fevereiro de 2019;3664;4272
11 de fevereiro de 2019;3330;3228
12 de fevereiro de 2019;2465;3096
13 de fevereiro de 2019;3739;4151
14 de fevereiro de 2019;2858;2946
15 de fevereiro de 2019;581;716
16 de fevereiro de 2019;2076;2302
17 de fevereiro de 2019;3596;4082
18 de fevereiro de 2019;4103;4188
19 de fevereiro de 2019;3715;3858
20 de fevereiro de 2019;3240;2955
21 de fevereiro de 2019;2820;1613
22 de fevereiro de 2019;821;1078
23 de fevereiro de 2019;1240;1646
24 de fevereiro de 2019;3003;3431
25 de fevereiro de 2019;1726;2538
26 de fevereiro de 2019;3411;3780
27 de fevereiro de 2019;1601;2092
28 de fevereiro de 2019;2423;2760
1 de março de 2019;578;735
2 de março de 2019;900;1425
3 de março de 2019;995;1065
4 de março de 2019;1341;1425
5 de março de 2019;1946;2033
6 de março de 2019;3061;3061
7 de março de 2019;3482;3873
8 de março de 2019;1235;1261
9 de março de 2019;1754;1983
10 de março de 2019;2637;2973
11 de março de 2019;3678;3602
12 de março de 2019;3732;4133
13 de março de 2019;3372;3357
14 de março de 2019;3234;3610
15 de março de 2019;1745;1840
16 de março de 2019;1993;2056
17 de março de 2019;3543;3816
18 de março de 2019;3558;3653
19 de março de 2019;3637;4101
20 de março de 2019;1975;2378
21 de março de 2019;3306;3861
22 de março de 2019;1929;2142
23 de março de 2019;2895;3092
24 de março de 2019;3602;4153
25 de março de 2019;3904;4458
26 de março de 2019;3897;4182
27 de março de 2019;3528;3926
28 de março de 2019;3611;4147
29 de março de 2019;1766;2015
30 de março de 2019;2760;3052
31 de março de 2019;3662;3992
1 de abril de 2019;4164;4365
2 de abril de 2019;3990;4339
3 de abril de 2019;4122;4468
4 de abril de 2019;3935;4239
5 de abril de 2019;1378;1372
6 de abril de 2019;1804;2035
7 de abril de 2019;1264;1034
8 de abril de 2019;1829;2020
9 de abril de 2019;3330;3638
10 de abril de 2019;3771;4182
11 de abril de 2019;3701;3989
12 de abril de 2019;1913;2202
13 de abril de 2019;694;778
14 de abril de 2019;3613;3972
15 de abril de 2019;3744;3937
16 de abril de 2019;3717;4136
17 de abril de 2019;3777;4200
18 de abril de 2019;2333;2507
19 de abril de 2019;1890;2092
20 de abril de 2019;1849;2080
21 de abril de 2019;3578;3681
22 de abril de 2019;3825;3848
23 de abril de 2019;4022;4246
24 de abril de 2019;3729;4113
25 de abril de 2019;3570;4088
26 de abril de 2019;1955;2228
27 de abril de 2019;2386;2563
28 de abril de 2019;3531;3880
29 de abril de 2019;3866;4258
30 de abril de 2019;3248;3475
1 de maio de 2019;3812;4080
2 de maio de 2019;3777;4151
3 de maio de 2019;2035;2196
4 de maio de 2019;2630;3048
5 de maio de 2019;3618;4072
6 de maio de 2019;3582;3610
7 de maio de 2019;3681;3950
8 de maio de 2019;3740;3918
9 de maio de 2019;3753;3971
10 de maio de 2019;1656;1813
11 de maio de 2019;1493;1662
12 de maio de 2019;3534;3883
13 de maio de 2019;3707;3609
14 de maio de 2019;3463;3722
15 de maio de 2019;2703;2828
16 de maio de 2019;1936;2594
17 de maio de 2019;673;814
18 de maio de 2019;1986;2225
19 de maio de 2019;3456;3596
20 de maio de 2019;3701;4024
21 de maio de 2019;3795;3945
22 de maio de 2019;3761;4007
23 de maio de 2019;2427;2725
24 de maio de 2019;1476;1659
25 de maio de 2019;2288;2501
26 de maio de 2019;3451;3713
27 de maio de 2019;3877;4026
28 de maio de 2019;3478;3697
29 de maio de 2019;3407;3268
30 de maio de 2019;3320;3550
31 de maio de 2019;1031;1153
1 de junho de 2019;414;432
2 de junho de 2019;1399;1996
3 de junho de 2019;3084;2964
4 de junho de 2019;2460;2639
5 de junho de 2019;3340;3427
6 de junho de 2019;3295;3580
7 de junho de 2019;1452;1476
8 de junho de 2019;2023;2203
9 de junho de 2019;3342;3407
10 de junho de 2019;3519;3660
11 de junho de 2019;3641;3781
12 de junho de 2019;3667;3730
13 de junho de 2019;3434;3518
14 de junho de 2019;1677;1760
15 de junho de 2019;2612;2611
16 de junho de 2019;3441;3717
17 de junho de 2019;3697;3764
18 de junho de 2019;3618;3739
19 de junho de 2019;2258;2271
20 de junho de 2019;2033;2161
21 de junho de 2019;1649;1660
22 de junho de 2019;2408;2552
23 de junho de 2019;3375;3660
24 de junho de 2019;3730;3966
25 de junho de 2019;3693;3963
26 de junho de 2019;3568;3725
27 de junho de 2019;3492;3751
28 de junho de 2019;1729;1794
29 de junho de 2019;2601;2733
30 de junho de 2019;3483;3582
1 de julho de 2019;3656;3848
2 de julho de 2019;3470;3816
3 de julho de 2019;631;630
4 de julho de 2019;1283;1638
5 de julho de 2019;1016;1058
6 de julho de 2019;886;977
7 de julho de 2019;1782;1860
8 de julho de 2019;1930;2164
9 de julho de 2019;2907;2971
10 de julho de 2019;3100;3311
11 de julho de 2019;2974;3119
12 de julho de 2019;1630;1616
13 de julho de 2019;2431;2491
14 de julho de 2019;3077;3241
15 de julho de 2019;2715;2733
16 de julho de 2019;2724;2775
17 de julho de 2019;3029;3074
18 de julho de 2019;2853;3065
19 de julho de 2019;1580;1655
20 de julho de 2019;2383;2432
21 de julho de 2019;3036;3192
22 de julho de 2019;3516;3514
23 de julho de 2019;3467;3538
24 de julho de 2019;3318;3411
25 de julho de 2019;3233;3378
26 de julho de 2019;1937;1905
27 de julho de 2019;2280;2261
28 de julho de 2019;3266;3551
29 de julho de 2019;3471;3381
30 de julho de 2019;3634;3743
31 de julho de 2019;3670;3904
1 de agosto de 2019;3283;3249
2 de agosto de 2019;737;816
3 de agosto de 2019;817;872
4 de agosto de 2019;2875;2929
5 de agosto de 2019;3580;3689
6 de agosto de 2019;3832;3855
7 de agosto de 2019;3838;4044
8 de agosto de 2019;3470;3910
9 de agosto de 2019;1715;1815
10 de agosto de 2019;1709;1798
11 de agosto de 2019;3697;3851
12 de agosto de 2019;3560;3362
13 de agosto de 2019;2666;2746
14 de agosto de 2019;3585;3856
15 de agosto de 2019;3500;3808
16 de agosto de 2019;1811;1890
17 de agosto de 2019;2603;2658
18 de agosto de 2019;2587;2451
19 de agosto de 2019;2906;3141
20 de agosto de 2019;3417;3476
21 de agosto de 2019;3445;3662
22 de agosto de 2019;3231;3468
23 de agosto de 2019;1219;1279
24 de agosto de 2019;1872;2017
25 de agosto de 2019;3530;3664
26 de agosto de 2019;3883;3912
27 de agosto de 2019;3704;3898
28 de agosto de 2019;3973;4102
29 de agosto de 2019;3836;3978
30 de agosto de 2019;1788;1708
31 de agosto de 2019;861;961
1 de setembro de 2019;2435;2664
2 de setembro de 2019;2992;2578
3 de setembro de 2019;3110;3107
4 de setembro de 2019;2466;2640
5 de setembro de 2019;3121;3043
6 de setembro de 2019;1747;1916
7 de setembro de 2019;2605;2761
8 de setembro de 2019;3636;4024
9 de setembro de 2019;4075;4273
10 de setembro de 2019;4022;4060
11 de setembro de 2019;4020;4081
12 de setembro de 2019;3406;3655
13 de setembro de 2019;1672;1775
14 de setembro de 2019;2566;2661
15 de setembro de 2019;3653;3891
16 de setembro de 2019;4183;4346
17 de setembro de 2019;3967;4246
18 de setembro de 2019;3896;3899
19 de setembro de 2019;3279;3611
20 de setembro de 2019;1364;1411
21 de setembro de 2019;1148;1228
22 de setembro de 2019;2898;2996
23 de setembro de 2019;3793;3792
24 de setembro de 2019;3255;3069
25 de setembro de 2019;3385;3482
26 de setembro de 2019;3407;3537
27 de setembro de 2019;1324;1335
28 de setembro de 2019;2533;2514
29 de setembro de 2019;3692;3697
30 de setembro de 2019;3955;4101
1 de outubro de 2019;3977;3994
2 de outubro de 2019;3996;3986
3 de outubro de 2019;3716;3813
4 de outubro de 2019;1605;1670
5 de outubro de 2019;2030;2127
6 de outubro de 2019;3299;2948
7 de outubro de 2019;3002;2515
8 de outubro de 2019;3122;3346
9 de outubro de 2019;3794;3917
10 de outubro de 2019;3572;3850
11 de outubro de 2019;1678;1848
12 de outubro de 2019;2201;2378
13 de outubro de 2019;3589;3551
14 de outubro de 2019;3728;3736
15 de outubro de 2019;3737;3672
16 de outubro de 2019;3768;3696
17 de outubro de 2019;3370;3320
18 de outubro de 2019;1532;1589
19 de outubro de 2019;1617;1728
20 de outubro de 2019;3227;3175
21 de outubro de 2019;3919;3867
22 de outubro de 2019;3849;3707
23 de outubro de 2019;3930;3745
24 de outubro de 2019;3736;3697
25 de outubro de 2019;1577;1617
26 de outubro de 2019;2411;2574
27 de outubro de 2019;3352;3519
28 de outubro de 2019;3976;3954
29 de outubro de 2019;3792;3862
30 de outubro de 2019;3807;3543
31 de outubro de 2019;3621;3573
1 de novembro de 2019;1731;1774
2 de novembro de 2019;2247;2262
3 de novembro de 2019;3581;3537
4 de novembro de 2019;3340;2171
5 de novembro de 2019;2993;3128
6 de novembro de 2019;3348;3229
7 de novembro de 2019;3238;3118
8 de novembro de 2019;1473;1587
9 de novembro de 2019;1655;1722
10 de novembro de 2019;3306;3283
11 de novembro de 2019;3715;3739
12 de novembro de 2019;3634;3466
13 de novembro de 2019;2508;2592
14 de novembro de 2019;604;713
15 de novembro de 2019;1515;1653
16 de novembro de 2019;2289;2424
17 de novembro de 2019;3231;3224
18 de novembro de 2019;3587;3387
19 de novembro de 2019;2236;2270
20 de novembro de 2019;3666;3556
21 de novembro de 2019;3330;3489
22 de novembro de 2019;1287;1403
23 de novembro de 2019;1462;1656
24 de novembro de 2019;3512;3506
25 de novembro de 2019;3807;3678
26 de novembro de 2019;3141;2337
27 de novembro de 2019;1915;2223
28 de novembro de 2019;3605;3622
29 de novembro de 2019;1542;1635
30 de novembro de 2019;1791;1933
1 de dezembro de 2019;2806;2854
2 de dezembro de 2019;3802;3548
3 de dezembro de 2019;3481;3412
4 de dezembro de 2019;3173;2842
5 de dezembro de 2019;3045;3098
6 de dezembro de 2019;1695;1670
7 de dezembro de 2019;2242;2344
8 de dezembro de 2019;3353;3059
9 de dezembro de 2019;3014;2500
10 de dezembro de 2019;2908;2093
11 de dezembro de 2019;3507;3687
12 de dezembro de 2019;3155;3200
13 de dezembro de 2019;1248;1335
14 de dezembro de 2019;2076;2176
15 de dezembro de 2019;3491;3579
16 de dezembro de 2019;3475;3339
17 de dezembro de 2019;2311;2474
18 de dezembro de 2019;3264;3254
19 de dezembro de 2019;3074;3126
20 de dezembro de 2019;1379;1473
21 de dezembro de 2019;1638;1784
22 de dezembro de 2019;1586;1201
23 de dezembro de 2019;1210;1248
24 de dezembro de 2019;784;852
25 de dezembro de 2019;2176;2185
26 de dezembro de 2019;2039;1901
27 de dezembro de 2019;1259;1316
28 de dezembro de 2019;1667;1759
29 de dezembro de 2019;1274;1252
30 de dezembro de 2019;735;844
31 de dezembro de 2019;568;606
1 de janeiro de 2020;1192;985
2 de janeiro de 2020;1496;1498
3 de janeiro de 2020;893;917
4 de janeiro de 2020;1528;1658
5 de janeiro de 2020;2940;2835
6 de janeiro de 2020;3078;3062
7 de janeiro de 2020;2726;2212
8 de janeiro de 2020;2947;2633
9 de janeiro de 2020;3005;3004
10 de janeiro de 2020;1498;1552
11 de janeiro de 2020;1557;1578
12 de janeiro de 2020;2800;2591
13 de janeiro de 2020;3259;3231
14 de janeiro de 2020;3307;3359
15 de janeiro de 2020;2767;2668
16 de janeiro de 2020;2332;2293
17 de janeiro de 2020;1454;1531
18 de janeiro de 2020;1886;1979
19 de janeiro de 2020;3098;3064
20 de janeiro de 2020;3434;3452
21 de janeiro de 2020;3262;2935
22 de janeiro de 2020;2326;2308
23 de janeiro de 2020;1808;2073
24 de janeiro de 2020;1643;1783
25 de janeiro de 2020;2353;2489
26 de janeiro de 2020;3113;3183
27 de janeiro de 2020;3326;2921
28 de janeiro de 2020;3520;3401
29 de janeiro de 2020;2881;1656
30 de janeiro de 2020;2967;2990
31 de janeiro de 2020;1021;1089
1 de fevereiro de 2020;1392;1458
2 de fevereiro de 2020;1691;1342
3 de fevereiro de 2020;2749;2770
4 de fevereiro de 2020;2983;2824
5 de fevereiro de 2020;3187;3031
6 de fevereiro de 2020;3182;3152
7 de fevereiro de 2020;1500;1566
8 de fevereiro de 2020;2026;2184
9 de fevereiro de 2020;888;1170
10 de fevereiro de 2020;2012;2388
11 de fevereiro de 2020;2748;2681
12 de fevereiro de 2020;3235;3347
13 de fevereiro de 2020;3403;3455
14 de fevereiro de 2020;1306;1528
15 de fevereiro de 2020;1550;1702
16 de fevereiro de 2020;3373;3333
17 de fevereiro de 2020;3452;3222
18 de fevereiro de 2020;3211;2713
19 de fevereiro de 2020;3267;3084
20 de fevereiro de 2020;2445;2436
21 de fevereiro de 2020;647;804
22 de fevereiro de 2020;1071;1152
23 de fevereiro de 2020;829;840
24 de fevereiro de 2020;1099;1167
25 de fevereiro de 2020;1025;1061
26 de fevereiro de 2020;1885;2072
27 de fevereiro de 2020;2526;2414
28 de fevereiro de 2020;855;951
29 de fevereiro de 2020;1100;1139
1 de março de 2020;2688;1947
2 de março de 2020;2724;2894
3 de março de 2020;3376;3299
4 de março de 2020;3422;3467
5 de março de 2020;3476;3391
6 de março de 2020;1582;1760
7 de março de 2020;1803;1749
8 de março de 2020;3368;3482
9 de março de 2020;3771;3728
10 de março de 2020;3637;3516
11 de março de 2020;3573;3357
12 de março de 2020;3190;3188
13 de março de 2020;1644;1718
14 de março de 2020;2153;2235
15 de março de 2020;2506;2316
16 de março de 2020;1812;1829
17 de março de 2020;1751;1777
18 de março de 2020;1312;1338
19 de março de 2020;1159;1097
20 de março de 2020;995;1106
21 de março de 2020;1452;1544
22 de março de 2020;886;922
23 de março de 2020;930;1015
24 de março de 2020;1019;1114
25 de março de 2020;1142;1211
26 de março de 2020;1229;1300
27 de março de 2020;1588;1679
28 de março de 2020;1329;1458
29 de março de 2020;963;1036
30 de março de 2020;1189;1365
31 de março de 2020;1366;1431
1 de abril de 2020;1299;1419
2 de abril de 2020;1043;1168
3 de abril de 2020;2011;2159
4 de abril de 2020;2068;2263
5 de abril de 2020;1123;1241
6 de abril de 2020;864;961
7 de abril de 2020;966;1065
8 de abril de 2020;1308;1408
9 de abril de 2020;1595;1854
10 de abril de 2020;1524;1698
11 de abril de 2020;1463;1620
12 de abril de 2020;1121;1192
13 de abril de 2020;1109;1189
14 de abril de 2020;1274;1338
15 de abril de 2020;1254;1401
16 de abril de 2020;1086;1250
17 de abril de 2020;1717;1833
18 de abril de 2020;2046;2251
19 de abril de 2020;1200;1234
20 de abril de 2020;2250;2421
21 de abril de 2020;1190;1250
22 de abril de 2020;1453;1585
23 de abril de 2020;1199;1295
24 de abril de 2020;2088;2212
25 de abril de 2020;2385;2687
26 de abril de 2020;1294;1373
27 de abril de 2020;1407;1607
28 de abril de 2020;1328;1532
29 de abril de 2020;1200;1441
30 de abril de 2020;1965;2217
1 de maio de 2020;1463;1667
2 de maio de 2020;1882;2172
3 de maio de 2020;991;1113
4 de maio de 2020;1228;1330
5 de maio de 2020;848;954
6 de maio de 2020;584;619
7 de maio de 2020;934;975
8 de maio de 2020;1776;1957
9 de maio de 2020;1442;1657
10 de maio de 2020;1196;1256
11 de maio de 2020;1396;1507
12 de maio de 2020;1220;1282
13 de maio de 2020;816;873
14 de maio de 2020;928;1016
15 de maio de 2020;2056;2343
16 de maio de 2020;2242;2541
17 de maio de 2020;1089;1128
18 de maio de 2020;1273;1334
19 de maio de 2020;1501;1663
20 de maio de 2020;1576;1670
21 de maio de 2020;1229;1342
22 de maio de 2020;1095;1199
23 de maio de 2020;1363;1542
24 de maio de 2020;1245;1411
25 de maio de 2020;1098;1106
26 de maio de 2020;1177;1235
27 de maio de 2020;1145;1254
28 de maio de 2020;1177;1156
29 de maio de 2020;2042;2155
30 de maio de 2020;2468;2635
31 de maio de 2020;1118;1145
1 de junho de 2020;582;605
2 de junho de 2020;1002;1136
3 de junho de 2020;909;995
4 de junho de 2020;880;994
5 de junho de 2020;1788;1997
6 de junho de 2020;2472;2937
7 de junho de 2020;1207;1277
8 de junho de 2020;1318;1432
9 de junho de 2020;1269;1424
10 de junho de 2020;1891;2084
11 de junho de 2020;1354;1531
12 de junho de 2020;2527;2804
13 de junho de 2020;1082;1254
14 de junho de 2020;1089;1164
15 de junho de 2020;1414;1563
16 de junho de 2020;1487;1624
17 de junho de 2020;1544;1741
18 de junho de 2020;1517;1590
19 de junho de 2020;2603;2904
20 de junho de 2020;3099;3215
21 de junho de 2020;1360;1494
22 de junho de 2020;1641;1808
23 de junho de 2020;1541;1748
