data ; tMin ; tMed ; tMax ; precipitacao 
05/03/2017;20;24,5;29;55,1
04/03/2017;21;25;29;0
03/03/2017;20;24,5;29;1,1
02/03/2017;23;25,5;28;12,4
01/03/2017;21;26;31;0,1
28/02/2017;19;24;29;0,1
27/02/2017;20;24,5;29;0,3
26/02/2017;19;23,5;28;4,8
25/02/2017;20;22,5;25;2,1
24/02/2017;18;24;30;50
23/02/2017;21;27;33;0,1
22/02/2017;20;26,5;33;0,6
21/02/2017;20;26;32;0
20/02/2017;21;27,5;34;0
19/02/2017;24;29;34;0
18/02/2017;21;27,5;34;0
17/02/2017;21;27;33;0
16/02/2017;21;26,5;32;0
15/02/2017;24;28;32;0
14/02/2017;21;26,5;32;0
13/02/2017;22;27;32;0
12/02/2017;21;26;31;1,3
11/02/2017;23;27;31;0,6
10/02/2017;20;25;30;0
09/02/2017;19;23,5;28;0
08/02/2017;20;24,5;29;0
07/02/2017;19;24;29;5,7
06/02/2017;20;25,5;31;25,9
05/02/2017;20;26;32;2,2
04/02/2017;20;23,5;27;0,5
03/02/2017;23;26;29;1,4
02/02/2017;19;23,5;28;5,2
01/02/2017;19;23,5;28;12,3
31/01/2017;20;25;30;4
30/01/2017;20;24,5;29;2,2
29/01/2017;22;27,5;33;0
28/01/2017;20;25;30;0,1
27/01/2017;20;23;26;5
26/01/2017;19;22,5;26;19,7
25/01/2017;23;26;29;0,6
24/01/2017;20;25;30;2,7
23/01/2017;18;22;26;2,2
22/01/2017;17;20;23;6,4
21/01/2017;18;20,5;23;19,8
20/01/2017;19;22;25;7,5
19/01/2017;20;23;26;24,6
18/01/2017;20;22;24;13
